kmeans,random,greedy,hillclimber
29797,36133,29617,35629
29788,35557,29500,35287
29734,36052,29437,35269
29734,35917,29329,35278
29896,35674,29437,35323
29698,35422,29626,35332
29626,36097,29500,35413
29752,35188,29320,35305
29761,35449,29365,35116
29563,35647,29482,35062
29797,35521,29338,35665
29788,35926,29464,35467
29671,35674,29338,35206
29563,36169,29410,35386
29806,35998,29329,34918
29743,35143,29338,35521
29743,35827,29509,35782
29806,35701,29347,34729
29572,36097,29374,35215
29914,35458,29689,34990
29788,35134,29356,35449
29914,35998,29410,35269
29698,35827,29383,35746
29806,35404,29419,34900
29653,35746,29464,35341
29752,35548,29428,35080
29644,35746,29347,34999
29788,36043,29365,35476
29752,35449,29509,34828
29707,35665,29356,35287
29680,35620,29347,35260
29905,35773,29365,34864
29725,36178,29482,35026
29752,35584,29419,35566
29680,35476,29491,35575
29815,36088,29707,34963
29572,35584,29383,35386
29671,35656,29338,35629
29707,36205,29347,35332
29788,35899,29428,35107
29761,35827,29455,35269
29761,35773,29392,35467
29626,35755,29347,35449
29689,35926,29455,35251
29617,35836,29329,35152
29788,35836,29320,35629
29707,35512,29356,35620
29770,35953,29293,35197
29797,35764,29365,35224
29635,35836,29428,35287
29599,36088,29428,35242
29779,35152,29401,35782
29761,35656,29473,35143
29716,36043,29419,35287
29689,35287,29347,35368
29464,35305,29464,34999
29869,36169,29356,34720
29734,35674,29410,34999
29815,35683,29329,35485
29869,35674,29428,35242
29563,35629,29356,35341
29707,35233,29356,35134
29887,36187,29347,35134
29851,35467,29419,35773
29644,35971,29320,35449
29752,35296,29455,35152
29824,36124,29455,35566
29734,35881,29464,35332
29788,35890,29419,35323
29617,35287,29347,35350
29707,35386,29338,35314
29779,35530,29356,35449
29635,35629,29383,35296
29599,35737,29374,35413
29752,35125,29455,35116
29671,36169,29464,34999
29716,35512,29464,35152
29698,35701,29446,35062
29644,35503,29419,35314
29824,35737,29356,35098
29932,35449,29455,35395
29725,35611,29356,35386
29644,35026,29419,34972
29743,35404,29437,35305
29833,35197,29347,35053
29572,35494,29437,35224
29590,35575,29365,35215
29662,35863,29311,35044
29716,35863,29374,35422
29707,35719,29419,35314
29707,35476,29347,35215
29671,35809,29572,35035
29761,35602,29329,35170
29770,35647,29365,35323
29752,34963,29374,35458
29707,35512,29464,35269
29626,35269,29338,35053
29527,35881,29365,35287
29635,35467,29338,35584
29653,35683,29374,35287
29518,35557,29428,35305
29788,36025,29329,35206
29671,35809,29338,35413
29824,35962,29437,35251
29536,35458,29419,34882
29716,35260,29455,35431
29671,35503,29293,35233
29788,35773,29716,35557
29698,35656,29455,35521
29626,35422,29419,35134
29779,35566,29302,35062
29734,35665,29455,35593
29815,35881,29338,34441
29815,35773,29473,35242
29734,36232,29311,35512
29572,35548,29455,35476
29716,34900,29347,35377
29689,35701,29293,34837
29761,35935,29446,35350
